Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,PylonSprite,20.0,19.0,6.0,4.0,0.8333333333333334,0.5714285714285714
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,MonkSprite,0.0,0.0,1.0,1.0,-0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,GnollSapperSprite,1.0,0.0,2.0,2.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,BruteSprite,0.0,0.0,1.0,1.0,0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,SuccubusSprite,1.0,0.0,2.0,2.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,SheepSprite,0.0,0.0,1.0,1.0,0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,GnollGeomancerSprite,39.0,23.0,4.0,1.0,0.65,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,UndeadSprite,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,GreatCrabSprite,1.0,0.0,2.0,2.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,DM201Sprite,21.0,0.0,7.0,7.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,WraithSprite,1.0,0.0,2.0,2.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,SnakeSprite,0.0,0.0,1.0,1.0,0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,YogSprite,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,MirrorSprite,10.0,0.0,5.0,2.0,1.0,0.4
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,FistSprite,429.0,423.0,27.0,25.0,0.9540229885057472,0.8
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Burning,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Soiled,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Rotting,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Rusted,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Bright,6.0,0.0,4.0,4.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Dark,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,LotusSprite,18.0,15.0,5.0,5.0,0.6666666666666666,0.7142857142857143
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,FungalSentrySprite,14.0,13.0,5.0,5.0,0.8,0.8333333333333334
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,ShamanSprite,28.0,28.0,8.0,7.0,1.0,0.875
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Red,0.0,0.0,1.0,1.0,0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Blue,0.0,0.0,1.0,1.0,0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Purple,0.0,0.0,1.0,1.0,0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,PhantomPiranhaSprite,9.0,3.0,3.0,3.0,0.4,0.5
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,WarlockSprite,6.0,0.0,4.0,4.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,BatSprite,0.0,0.0,1.0,1.0,0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,CausticSlimeSprite,0.0,0.0,1.0,1.0,0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,SwarmSprite,1.0,0.0,2.0,2.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,KingSprite,0.0,0.0,1.0,1.0,0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,BeeSprite,1.0,0.0,2.0,2.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,FungalSpinnerSprite,15.0,0.0,6.0,6.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,ElementalSprite,345.0,339.0,24.0,22.0,0.9423076923076923,0.8148148148148148
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Fire,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,NewbornFire,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Frost,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Shock,6.0,0.0,4.0,4.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,Chaos,6.0,0.0,4.0,4.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,ImpSprite,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,DM200Sprite,21.0,0.0,7.0,7.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,SpawnerSprite,9.0,8.0,4.0,4.0,0.75,0.8
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,WardSprite,53.0,51.0,9.0,6.0,0.9,0.5454545454545454
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,GolemSprite,35.0,25.0,6.0,5.0,0.7777777777777778,0.5
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,ShieldedSprite,0.0,0.0,1.0,1.0,0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,LarvaSprite,3.0,0.0,3.0,2.0,0.0,0.6666666666666666
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,SeniorSprite,0.0,0.0,1.0,1.0,-0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,ScorpioSprite,9.0,8.0,4.0,4.0,0.75,0.8
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,ScorpioShot,0.0,0.0,0.0,0.0,0.0,-1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,ShopkeeperSprite,1.0,1.0,2.0,2.0,1.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,SkeletonSprite,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,MissileSprite,20.0,19.0,6.0,5.0,0.9583333333333334,0.7142857142857143
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,CharSprite,1215.0,1052.0,12.0,6.0,0.9692307692307692,0.09433962264150944
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,JumpTweener,0.0,0.0,1.0,1.0,-0.0,0.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,PrismaticSprite,3.0,0.0,3.0,3.0,0.0,1.0
shattered-pixel-dungeon,com.shatteredpixel.shatteredpixeldungeon.sprites,TormentedSpiritSprite,1.0,0.0,2.0,2.0,0.0,1.0
